Id,Country,StartProcedure,TaxPay,TimeRequired,TimeToPrepare,TotalTaxRate,Revenue,ForeignInvest,High-techExport
35,Honduras,12,47,14,224,43,70004496262,-1012297708,11395287
36,Hungary,4,13,4,277,52,1.33E+13,-1859497934,20649002000
37,Iceland,5,24,5,140,30,4.88E+11,313936902,156242917
38,Ireland,4,9,13,76,25,51072206306,-25201352356,23751602369
39,Israel,5,33,19,235,29,3.05E+11,438000000,8825592000
40,Italy,6,14,6,285,68,5.94E+11,17340683455,31191607345
41,Jamaica,6,72,7,414,47,3.77E+11,-143677171,4075020
42,Jordan,7,25,12,151,28,4198900000,-1442676056,115604075
43,"Korea, Rep.",5,13,7,225,34,2.87E+14,19931700000,1.22E+11
44,Kyrgyz Republic,4,52,14,230,33,60269244000,-693589500,9066445
45,Latvia,4,7,16,250,37,3541169000,-1392764811,560578395
46,Lebanon,6,20,15,180,31,1.32E+13,-2735876878,49364422
47,Lithuania,6,11,22,175,43,27993000000,-1398191305,1520145996
48,Luxembourg,6,23,18,59,20,16559295518,-33531220002,1106470978
49,"Macedonia, FYR",3,40,3,119,8,1.32E+11,-473912887,123405402
50,Madagascar,8,23,12,201,41,2.06E+12,-696131270,52409274
51,Malaysia,3,13,5,133,34,1.85E+11,2989026889,61126964506
52,Mali,4,59,8,270,51,8.05E+11,-551768801,5021628
53,Malta,10,7,39,139,41,2449901381,-14642848320,1309410485
54,Mauritius,5,8,6,161,28,72462800000,988795304,9742400
55,Morocco,6,17,12,238,50,2.68E+11,-2273339953,860938797
56,Mozambique,10,37,19,230,37,79440700714,-3561424375,71194000
57,Namibia,10,37,66,339,22,23381324600,-868077013,42274443
58,Nepal,7,34,29,326,32,2.04E+11,-94022157,1916543
59,Netherlands,6,9,8,127,40,2.44E+11,39568402457,67147867601
60,New Zealand,1,8,1,172,34,76135668945,-1456376699,661395978
61,Nicaragua,8,43,39,207,64,34544596600,-930000000,5994074
62,Norway,5,4,6,87,41,1.35E+12,-256433055,4510799186
63,Oman,5,14,7,62,22,10568700000,358371912,137151352
64,Paraguay,7,35,35,387,35,2.20E+13,-556966667,43141808
65,Peru,6,9,26,309,37,98406310416,-7517744764,305033829
66,Philippines,16,47,36,195,45,1.36E+12,342490414,12949169027
67,Poland,6,30,32,298,40,4.67E+11,-13997000000,8613651552
68,Portugal,4,8,4,275,43,68409527000,8864574000,1547407412
69,Romania,6,113,14,222,44,1.68E+11,-2557000000,4966343987
70,Rwanda,6,17,7,148,35,5.73E+11,-106210000,1308330
71,Samoa,4,37,9,224,18,418548,-14590674,71333
72,Sao Tome and Principe,4,45,10,424,39,7.87E+11,-31855092,4359
73,Senegal,4,59,6,666,46,1.38E+12,-290760442,5703457
74,Serbia,7,67,13,279,33,1.19E+12,-2532729957,262692393
75,Singapore,3,6,3,86,24,59806200000,-23511978991,1.26E+11
76,Slovak Republic,6,32,18,231,50,19579194829,-1597851682,4717976058
77,Slovenia,2,21,6,245,33,13356443735,-891694839,1403283011
78,South Africa,5,8,19,200,32,8.61E+11,-4292687424,2240607495
79,Spain,10,9,29,187,38,2.47E+11,13163660056,13369605149
80,Sri Lanka,9,71,35,256,113,9.35E+11,-895920000,70746485
81,St. Kitts and Nevis,7,39,19,203,53,650000000,-109632707,36481
82,St. Vincent and the Grenadines,7,36,10,111,39,462500000,-85623860,99
83,Suriname,13,30,690,199,28,3422084118,-72895403,5523252
84,Sweden,3,6,16,122,52,1.13E+12,16343266951,18499493586
85,Switzerland,6,19,18,63,29,1.05E+11,20133945520,50124292139
86,Tanzania,10,48,29,172,45,7.03E+12,-1229403285,40986194
87,Thailand,7,22,29,264,37,2.24E+12,4729978070,33264733346
88,Togo,7,50,84,270,49,3.17E+11,536156322,782525
89,Tunisia,10,8,11,144,62,21110900000,-432666012,732232913
90,Turkey,7,11,7,226,40,4.31E+11,-13806000000,1921400175
91,Uganda,15,31,33,213,37,6.40E+12,-895293858,148932234
92,Ukraine,9,135,24,657,57,4.72E+11,-7015000000,1908273982
93,United Arab Emirates,7,14,13,12,14,43953099958,5500692988,66644653
94,United Kingdom,6,8,12,110,36,5.61E+11,66448012153,69611885161
95,Uruguay,5,53,7,336,42,2.78E+11,-2510898656,134229147
96,Vanuatu,8,31,33,120,8,13130900000,-57123160,2817944
97,Zambia,6,38,18,183,14,19939920900,-1109900000,221453792
